#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
2100.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,31.25,31.3,0,31.25,0,0,31.3,0,31.3,0
2110.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,,,,,,,,,,
2120.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,32.1,0,32.05,0,32.15,32.15,0,32.1,0
2130.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13.3,14,13.2,13.2,0,13.34,13.36,0,13.34,0
2140.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.72,16.6,15.7,15.7,0,15.74,15.76,14.5,15.72,0
2150.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,29.25,29.45,29.2,29.25,0,29.25,29.3,0,29.3,0
2160.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32.15,33.3,32.1,32.1,0,32.15,32.25,0,32.25,0
2170.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,49,51.3,0,49.1,0,49,49.2,0,49.2,0
2180.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,38.1,38.1,38.05,38.05,0,38.2,38.2,38.1,38.1,0
2190.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.54,19.6,0,19.54,0,19.58,19.58,0,19.58,0
2200.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,33.5,33.55,33.5,33.5,0,33.7,33.7,33.55,33.7,0
2210.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,38.05,39,38.05,38.1,0,38.1,39,37.9,39,0
2220.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,18.7,18.88,18.7,18.78,0,18.88,18.88,0,18.82,0
2222.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,36.15,36.25,0,36.25,0,36.2,36.3,0,36.3,0
2230.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,28.65,28.7,0,28.7,0,28.75,28.75,28.75,28.75,0
2240.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.14,17.6,17.14,17.24,0,0,17.46,0,17.46,0
2250.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,24.36,0,24.3,0,24.28,24.38,0,24.36,0
